cpu,memory,disk
15.2,91.7,85.1
5.9,91.6,85.1
12.3,91.7,85.1
8.0,91.7,85.1
6.0,92.4,85.2
17.4,91.5,85.4
16.3,91.3,86.5
21.8,91.0,86.5
22.2,90.8,86.5
11.7,90.5,86.5
11.8,90.3,86.9
5.1,90.4,86.9
6.7,90.4,86.9
8.1,90.3,87.0
10.8,90.3,87.0
7.1,90.3,87.0
7.9,90.4,87.0
16.8,90.5,87.1
8.0,90.3,87.2
13.6,90.1,87.2
8.1,90.5,87.4
17.1,90.5,87.4
4.1,90.2,87.6
4.1,90.3,87.6
8.7,90.2,87.6
4.3,90.3,87.6
8.7,90.2,87.6
7.9,90.1,87.7
6.6,90.2,87.8
19.3,90.4,87.8
8.5,90.4,88.1
11.3,90.4,88.1
8.9,90.3,88.1
11.0,90.7,88.1
11.0,90.6,88.1
17.7,90.4,88.1
10.2,90.3,88.2
7.4,90.0,88.2
8.9,90.1,88.4
6.3,90.1,88.4
10.5,90.0,89.3
9.5,90.0,89.3
6.2,90.1,89.3
5.6,90.1,89.3
6.6,90.1,89.3
7.9,90.2,89.3
9.9,90.1,89.3
11.1,90.2,89.3
13.2,90.2,89.3
11.1,90.1,89.3
11.3,90.1,89.3
13.2,90.1,89.3
6.8,90.1,89.3
19.1,90.1,89.3
12.5,90.1,89.3
10.0,90.2,89.3
12.5,90.1,89.3
14.1,90.1,89.3
7.4,90.0,89.3
11.8,89.9,89.3
15.3,89.9,89.4
9.6,89.7,89.4
12.1,89.6,89.5
14.8,89.6,89.6
7.4,89.3,89.6
12.0,89.3,89.6
7.3,89.4,89.7
9.2,89.4,89.7
5.8,89.2,89.8
10.6,89.3,89.8
11.0,89.2,89.9
11.5,89.2,89.9
8.9,89.2,90.0
15.5,89.0,90.0
24.7,89.0,90.0
14.2,89.2,90.1
7.4,89.2,90.1
6.4,89.3,90.2
17.0,89.4,90.4
13.0,89.4,90.4
13.3,89.6,90.4
8.9,89.6,90.4
7.6,89.5,90.4
7.5,89.6,90.4
11.4,89.6,90.5
9.9,89.5,90.5
11.4,89.5,90.6
9.9,89.5,90.6
13.8,89.6,90.7
16.0,89.6,90.7
24.3,89.5,90.8
13.9,89.3,90.8
8.8,89.8,90.9
15.4,89.8,90.9
5.4,89.7,91.0
5.3,89.7,91.0
7.2,89.6,91.0
9.2,89.7,91.1
7.2,89.7,91.2
6.8,89.7,91.2
8.3,89.7,91.2
10.8,89.4,91.4
8.1,89.7,91.4
17.9,89.8,91.4
6.2,89.5,91.4
11.5,89.6,91.4
12.4,89.6,91.5
14.0,89.7,91.6
11.5,89.5,91.6
9.9,89.6,91.6
5.9,89.5,91.7
4.9,89.6,91.7
9.3,89.5,91.7
6.9,89.6,91.8
7.9,89.6,91.8
17.2,89.7,91.8
9.5,89.7,91.9
13.3,89.6,91.9
5.2,89.5,92.0
14.6,89.3,92.0
8.5,89.4,92.1
11.4,89.0,92.1
13.4,89.2,92.2
8.0,89.2,92.2
6.5,89.2,92.3
9.8,89.2,92.3
8.5,89.2,92.3
12.5,89.2,92.4
10.7,89.2,92.4
15.3,89.2,92.4
19.4,89.0,92.5
4.9,89.0,92.5
8.0,89.0,92.6
6.4,89.0,92.6
7.0,89.0,92.7
7.7,89.0,92.7
7.6,89.0,92.7
8.7,89.0,92.8
6.3,88.9,92.8
8.6,89.0,92.9
7.2,88.9,92.9
10.1,88.9,92.9
17.0,88.9,93.0
13.5,88.8,93.0
7.0,88.8,93.1
5.9,88.8,93.1
6.4,88.8,93.1
7.0,88.8,93.2
6.0,88.9,93.2
7.8,88.9,93.3
10.2,89.0,93.3
3.7,89.0,93.3
7.0,89.0,93.4
9.3,89.0,93.4
13.6,88.8,93.4
7.5,88.7,93.5
9.7,88.8,93.5
4.6,88.7,93.6
27.3,88.1,93.6
5.0,88.2,93.6
31.7,88.6,93.6
20.6,88.7,93.6
4.4,88.3,93.6
1.4,88.4,93.6
8.0,88.4,93.6
5.7,88.1,93.6
3.1,88.1,93.6
3.9,88.1,93.6
2.7,88.1,93.6
2.3,88.1,93.6
4.2,88.1,93.6
3.3,88.2,93.6
8.0,88.2,93.6
4.6,88.2,93.6
5.8,88.2,93.6
14.0,88.2,93.6
12.0,88.1,93.6
6.4,88.2,93.6
6.0,88.2,93.6
14.9,88.3,93.6
4.7,88.2,93.6
7.2,88.2,93.6
9.0,88.2,93.6
6.4,88.2,93.6
13.5,88.2,93.6
9.9,88.2,93.6
25.8,89.0,93.6
11.7,88.9,93.6
4.8,88.8,93.6
4.5,88.8,93.6
27.3,89.1,93.6
3.7,88.8,93.6
8.1,88.8,93.6
4.5,88.8,93.6
3.5,88.8,93.6
13.0,88.5,93.6
13.5,88.5,93.6
22.8,89.0,93.6
14.6,88.9,93.6
6.2,88.9,93.6
20.2,88.9,93.6
7.0,88.8,93.6
9.7,88.9,93.6
3.7,88.9,93.6
3.1,88.9,93.6
3.1,89.0,93.6
3.2,89.0,93.6
6.8,89.0,93.6
5.2,88.9,93.6
13.3,88.8,93.6
10.0,87.9,93.6
3.9,88.0,93.6
7.3,88.0,93.6
6.8,88.0,93.6
6.3,88.0,93.6
5.4,88.0,93.6
3.7,88.1,93.6
1.9,88.1,93.6
6.7,88.1,93.6
12.5,88.0,93.6
8.1,87.9,93.6
7.2,87.9,93.6
5.0,88.0,93.6
7.3,88.0,93.6
3.5,88.0,93.6
3.7,88.0,93.6
4.3,88.0,93.6
14.8,87.4,93.6
6.8,87.5,93.6
16.1,87.4,93.6
4.9,87.4,93.6
24.6,87.4,93.6
21.3,87.8,93.6
14.3,88.1,93.6
16.8,88.1,93.6
13.0,88.2,93.6
21.5,88.7,93.6
16.2,88.8,93.6
12.1,88.8,93.6
10.1,88.7,93.6
17.9,88.6,93.6
15.4,88.7,93.6
3.3,88.7,93.6
4.3,88.6,93.6
13.2,89.1,93.6
5.1,89.0,93.6
5.4,89.0,93.6
8.9,88.8,93.6
10.1,88.9,93.6
36.0,89.5,93.6
13.2,89.4,93.6
4.6,89.4,93.6
2.5,89.3,93.6
1.6,89.3,93.6
3.5,89.3,93.6
1.9,89.1,93.6
7.0,89.2,93.6
4.9,88.7,93.6
14.4,88.8,93.6
5.5,88.8,93.6
14.3,88.8,93.6
4.5,88.9,93.6
4.5,88.9,93.6
6.0,88.8,93.6
25.1,89.0,93.6
3.1,88.9,93.6
6.7,88.9,93.6
6.0,88.8,93.6
5.3,88.8,93.6
4.3,88.7,93.6
4.7,88.6,93.6
4.3,88.6,93.6
7.9,88.5,93.6
2.9,87.8,93.6
11.2,87.9,93.6
2.0,87.9,93.6
6.2,87.9,93.6
8.1,87.8,93.6
6.8,87.8,93.6
18.1,87.8,93.6
7.4,87.9,93.6
7.0,87.8,93.6
8.3,87.9,93.6
27.0,88.9,93.6
7.8,89.1,93.6
10.8,89.1,93.6
6.3,89.1,93.6
4.3,89.1,93.6
2.1,89.1,93.6
4.3,89.1,93.6
9.9,89.0,93.6
4.1,89.0,93.6
4.5,89.0,93.6
11.8,89.2,93.6
5.0,89.2,93.6
6.6,89.2,93.6
6.1,89.2,93.6
4.7,89.2,93.6
5.5,89.2,93.6
7.1,89.1,93.6
12.4,89.2,93.6
4.3,89.2,93.6
4.0,89.2,93.6
17.6,89.4,93.6
6.9,89.4,93.6
